"","grades","points","logicvec","empty","points2","diff","V7"
"row 1","A",19.79560468899,"TRUE",NA,39.5912093779799,19.79560468899,2.02692965057313
"row 2","B",0.927646018980736,"FALSE",NA,1.85529203796147,0.927646018980736,-0.830951618077205
"row 3","C",19.6859676141475,"TRUE",NA,39.3719352282951,19.6859676141475,0.350522010583267
"row 4","D",10.9705773441261,"FALSE",NA,21.9411546882522,10.9705773441261,0.0583801791612884
"row 5","E",5.15676604888599,"TRUE",NA,10.313532097772,5.15676604888599,0.945734079846075
"row 6","F",6.51565770992259,"FALSE",NA,13.0313154198452,6.51565770992259,-1.38089110037667
"row 7","A",11.6188786036476,"TRUE",NA,23.2377572072953,11.6188786036476,0.67238518561538
"row 8","B",11.0791188427747,"FALSE",NA,22.1582376855493,11.0791188427747,0.914870271910365
"row 9","C",2.68899467265615,"TRUE",NA,5.37798934531229,2.68899467265615,-0.361305886402949
"row 10","D",7.37477456210888,"FALSE",NA,14.7495491242178,7.37477456210888,-1.03595432547848
"row 11","E",19.1548244931279,"TRUE",NA,38.3096489862558,19.1548244931279,2.20071634615293
"row 12","F",0.500022176382842,"FALSE",NA,1.00004435276568,0.500022176382842,-0.57719832480419
"row 13","A",23.3824159833781,"TRUE",NA,46.7648319667561,23.3824159833781,-0.887708893771475
"row 14","B",3.37785922258441,"FALSE",NA,6.75571844516882,3.37785922258441,-2.42859901290349
"row 15","C",15.7285040159427,"TRUE",NA,31.4570080318854,15.7285040159427,-1.40255871405484
"row 16","D",-2.22783836652351,"FALSE",NA,-4.45567673304701,-2.22783836652351,-0.644981528410232
"row 17","E",8.97689827797321,"TRUE",NA,17.9537965559464,8.97689827797321,1.53012746805935
"row 18","F",2.09223515518027,"FALSE",NA,4.18447031036054,2.09223515518027,0.849354530815802
"row 19","A",7.36640110724357,"TRUE",NA,14.7328022144871,7.36640110724357,1.28075718490534
"row 20","B",7.13694085483146,"FALSE",NA,14.2738817096629,7.13694085483146,0.461063295212945
"row 21","C",7.73648157275107,"TRUE",NA,15.4729631455021,7.73648157275107,0.633200232143778
"row 22","D",8.02095686000196,"FALSE",NA,16.0419137200039,8.02095686000196,0.249674756380155
"row 23","E",3.0205454010458,"TRUE",NA,6.0410908020916,3.0205454010458,-1.24402257378939
"row 24","F",7.83747108662946,"FALSE",NA,15.6749421732589,7.83747108662946,0.0434697052879838
"row 25","A",9.73379826892417,"TRUE",NA,19.4675965378483,9.73379826892417,-0.0463065599549313
"row 26","B",7.79045331193571,"FALSE",NA,15.5809066238714,7.79045331193571,2.49815320009718
"row 27","C",9.92578208303307,"TRUE",NA,19.8515641660661,9.92578208303307,1.19373235193903
"row 28","D",14.6329912998962,"FALSE",NA,29.2659825997924,14.6329912998962,-1.26227060927066
"row 29","E",4.33079071961981,"TRUE",NA,8.66158143923963,4.33079071961981,-0.298568506746082
"row 30","F",10.5300394576219,"FALSE",NA,21.0600789152437,10.5300394576219,1.24675155302479
"row 31","A",9.69322047974974,"TRUE",NA,19.3864409594995,9.69322047974974,-1.19764069983988
"row 32","B",6.54749566477295,"FALSE",NA,13.0949913295459,6.54749566477295,-0.188332931983605
"row 33","C",10.440383237864,"TRUE",NA,20.8807664757281,10.440383237864,-0.444383572782546
"row 34","D",12.4511460158392,"FALSE",NA,24.9022920316785,12.4511460158392,-0.494424097976185
"row 35","E",5.62767132623483,"TRUE",NA,11.2553426524697,5.62767132623483,-3.0922084693062
"row 36","F",0.66437263611058,"FALSE",NA,1.32874527222116,0.66437263611058,-0.438157781296863
"row 37","A",2.96523205378374,"TRUE",NA,5.93046410756748,2.96523205378374,-0.300572044528196
"row 38","B",16.8746153711642,"FALSE",NA,33.7492307423284,16.8746153711642,1.46656004828146
"row 39","C",7.20428821201931,"TRUE",NA,14.4085764240386,7.20428821201931,-0.624375743873713
"row 40","D",5.2392327019421,"FALSE",NA,10.4784654038842,5.2392327019421,-0.0322823189744423
"row 41","E",5.96913767633328,"TRUE",NA,11.9382753526666,5.96913767633328,-0.491570290124824
"row 42","F",5.6689749842413,"FALSE",NA,11.3379499684826,5.6689749842413,0.217092815992649
"row 43","A",7.89466951788853,"TRUE",NA,15.7893390357771,7.89466951788853,-0.0473194976466126
"row 44","B",14.4471193877714,"FALSE",NA,28.8942387755429,14.4471193877714,1.49282899947519
"row 45","C",11.2203682669023,"TRUE",NA,22.4407365338047,11.2203682669023,0.848619209773682
"row 46","D",10.6874625347877,"FALSE",NA,21.3749250695754,10.6874625347877,-0.446627993185712
"row 47","E",2.98085036827951,"TRUE",NA,5.96170073655902,2.98085036827951,-0.186384259059249
"row 48","F",12.0627578404391,"FALSE",NA,24.1255156808782,12.0627578404391,1.06731530866003
"row 49","A",5.04990357941208,"TRUE",NA,10.0998071588242,5.04990357941208,1.26746590495764
"row 50","B",7.14144966476345,"FALSE",NA,14.2828993295269,7.14144966476345,-0.340351236690788
"row 51","C",3.85907614736286,"TRUE",NA,7.71815229472571,3.85907614736286,0.0625490493142393
"row 52","D",8.96284537784283,"FALSE",NA,17.9256907556857,8.96284537784283,1.07105852541357
"row 53","E",14.8357733639618,"TRUE",NA,29.6715467279236,14.8357733639618,-2.43576370005733
"row 54","F",9.49160577864315,"FALSE",NA,18.9832115572863,9.49160577864315,-1.52680083541673
"row 55","A",7.91805971053391,"TRUE",NA,15.8361194210678,7.91805971053391,0.623832568956367
"row 56","B",8.21344299713608,"FALSE",NA,16.4268859942722,8.21344299713608,-0.612632541999874
"row 57","C",10.3513426644528,"TRUE",NA,20.7026853289056,10.3513426644528,-1.04929013817242
"row 58","D",6.39437295090125,"FALSE",NA,12.7887459018025,6.39437295090125,-0.350209312158671
"row 59","E",4.94703073773489,"TRUE",NA,9.89406147546979,4.94703073773489,1.28861123996851
"row 60","F",9.05655208139073,"FALSE",NA,18.1131041627815,9.05655208139073,0.456087638359357
"61","1",1,"1",1,1,1,1
